Disease	N	Case/Control Ratio	r^2	P threshold	EffectSize	Power
HF	36788	9.694186047	0.0275	0.01	-0.105360515657826	0.000191517723463834
HF	36788	9.694186047	0.0275	0.01	-0.104360515657826	0.000198369042402125
HF	36788	9.694186047	0.0275	0.01	-0.103360515657826	0.00020544882615401
HF	36788	9.694186047	0.0275	0.01	-0.102360515657826	0.000212764065797577
HF	36788	9.694186047	0.0275	0.01	-0.101360515657826	0.00022032194386462
HF	36788	9.694186047	0.0275	0.01	-0.100360515657826	0.000228129838821079
HF	36788	9.694186047	0.0275	0.01	-0.0993605156578263	0.000236195329627783
HF	36788	9.694186047	0.0275	0.01	-0.0983605156578263	0.000244526200382161
HF	36788	9.694186047	0.0275	0.01	-0.0973605156578263	0.000253130445041564
HF	36788	9.694186047	0.0275	0.01	-0.0963605156578263	0.000262016272228843
HF	36788	9.694186047	0.0275	0.01	-0.0953605156578263	0.00027119211012079
HF	36788	9.694186047	0.0275	0.01	-0.0943605156578263	0.000280666611420009
HF	36788	9.694186047	0.0275	0.01	-0.0933605156578263	0.000290448658410803
HF	36788	9.694186047	0.0275	0.01	-0.0923605156578263	0.000300547368099595
HF	36788	9.694186047	0.0275	0.01	-0.0913605156578263	0.0003109720974404
HF	36788	9.694186047	0.0275	0.01	-0.0903605156578263	0.000321732448645821
HF	36788	9.694186047	0.0275	0.01	-0.0893605156578263	0.000332838274584026
HF	36788	9.694186047	0.0275	0.01	-0.0883605156578263	0.000344299684262128
HF	36788	9.694186047	0.0275	0.01	-0.0873605156578263	0.000356127048396348
HF	36788	9.694186047	0.0275	0.01	-0.0863605156578263	0.00036833100506933
HF	36788	9.694186047	0.0275	0.01	-0.0853605156578263	0.000380922465474922
HF	36788	9.694186047	0.0275	0.01	-0.0843605156578263	0.000393912619750707
HF	36788	9.694186047	0.0275	0.01	-0.0833605156578263	0.000407312942898542
HF	36788	9.694186047	0.0275	0.01	-0.0823605156578263	0.00042113520079332
HF	36788	9.694186047	0.0275	0.01	-0.0813605156578263	0.00043539145628011
HF	36788	9.694186047	0.0275	0.01	-0.0803605156578263	0.000450094075359822
HF	36788	9.694186047	0.0275	0.01	-0.0793605156578263	0.000465255733463488
HF	36788	9.694186047	0.0275	0.01	-0.0783605156578263	0.000480889421815193
HF	36788	9.694186047	0.0275	0.01	-0.0773605156578263	0.000497008453883671
HF	36788	9.694186047	0.0275	0.01	-0.0763605156578263	0.000513626471922506
HF	36788	9.694186047	0.0275	0.01	-0.0753605156578263	0.000530757453598865
HF	36788	9.694186047	0.0275	0.01	-0.0743605156578263	0.000548415718710601
HF	36788	9.694186047	0.0275	0.01	-0.0733605156578263	0.000566615935991549
HF	36788	9.694186047	0.0275	0.01	-0.0723605156578263	0.000585373130004761
HF	36788	9.694186047	0.0275	0.01	-0.0713605156578263	0.00060470268812339
HF	36788	9.694186047	0.0275	0.01	-0.0703605156578263	0.000624620367598861
HF	36788	9.694186047	0.0275	0.01	-0.0693605156578263	0.000645142302715937
HF	36788	9.694186047	0.0275	0.01	-0.0683605156578263	0.000666285012034183
HF	36788	9.694186047	0.0275	0.01	-0.0673605156578263	0.000688065405715344
HF	36788	9.694186047	0.0275	0.01	-0.0663605156578263	0.000710500792936003
HF	36788	9.694186047	0.0275	0.01	-0.0653605156578263	0.000733608889384914
HF	36788	9.694186047	0.0275	0.01	-0.0643605156578263	0.000757407824844259
HF	36788	9.694186047	0.0275	0.01	-0.0633605156578263	0.000781916150854081
HF	36788	9.694186047	0.0275	0.01	-0.0623605156578263	0.000807152848459028
HF	36788	9.694186047	0.0275	0.01	-0.0613605156578263	0.000833137336036501
HF	36788	9.694186047	0.0275	0.01	-0.0603605156578263	0.000859889477205226
HF	36788	9.694186047	0.0275	0.01	-0.0593605156578263	0.000887429588813195
HF	36788	9.694186047	0.0275	0.01	-0.0583605156578263	0.000915778449003835
HF	36788	9.694186047	0.0275	0.01	-0.0573605156578263	0.000944957305359236
HF	36788	9.694186047	0.0275	0.01	-0.0563605156578263	0.00097498788311912
HF	36788	9.694186047	0.0275	0.01	-0.0553605156578263	0.00100589239347424
HF	36788	9.694186047	0.0275	0.01	-0.0543605156578263	0.00103769354193272
HF	36788	9.694186047	0.0275	0.01	-0.0533605156578263	0.00107041453675791
HF	36788	9.694186047	0.0275	0.01	-0.0523605156578263	0.00110407909747607
HF	36788	9.694186047	0.0275	0.01	-0.0513605156578263	0.00113871146345226
HF	36788	9.694186047	0.0275	0.01	-0.0503605156578263	0.00117433640253269
HF	36788	9.694186047	0.0275	0.01	-0.0493605156578263	0.00121097921975158
HF	36788	9.694186047	0.0275	0.01	-0.0483605156578263	0.00124866576610081
HF	36788	9.694186047	0.0275	0.01	-0.0473605156578263	0.00128742244736006
HF	36788	9.694186047	0.0275	0.01	-0.0463605156578263	0.00132727623298559
HF	36788	9.694186047	0.0275	0.01	-0.0453605156578263	0.00136825466505526
HF	36788	9.694186047	0.0275	0.01	-0.0443605156578263	0.00141038586726768
HF	36788	9.694186047	0.0275	0.01	-0.0433605156578263	0.00145369855399289
HF	36788	9.694186047	0.0275	0.01	-0.0423605156578263	0.00149822203937231
HF	36788	9.694186047	0.0275	0.01	-0.0413605156578263	0.00154398624646522
HF	36788	9.694186047	0.0275	0.01	-0.0403605156578263	0.00159102171643923
HF	36788	9.694186047	0.0275	0.01	-0.0393605156578263	0.00163935961780178
HF	36788	9.694186047	0.0275	0.01	-0.0383605156578263	0.00168903175567011
HF	36788	9.694186047	0.0275	0.01	-0.0373605156578263	0.00174007058107632
HF	36788	9.694186047	0.0275	0.01	-0.0363605156578263	0.00179250920030491
HF	36788	9.694186047	0.0275	0.01	-0.0353605156578263	0.00184638138425924
HF	36788	9.694186047	0.0275	0.01	-0.0343605156578263	0.00190172157785382
HF	36788	9.694186047	0.0275	0.01	-0.0333605156578263	0.00195856490942915
HF	36788	9.694186047	0.0275	0.01	-0.0323605156578263	0.00201694720018533
HF	36788	9.694186047	0.0275	0.01	-0.0313605156578263	0.00207690497363122
HF	36788	9.694186047	0.0275	0.01	-0.0303605156578263	0.00213847546504515
HF	36788	9.694186047	0.0275	0.01	-0.0293605156578263	0.00220169663094358
HF	36788	9.694186047	0.0275	0.01	-0.0283605156578263	0.00226660715855373
HF	36788	9.694186047	0.0275	0.01	-0.0273605156578263	0.00233324647528622
HF	36788	9.694186047	0.0275	0.01	-0.0263605156578263	0.00240165475820349
HF	36788	9.694186047	0.0275	0.01	-0.0253605156578263	0.00247187294347993
HF	36788	9.694186047	0.0275	0.01	-0.0243605156578263	0.0025439427358493
HF	36788	9.694186047	0.0275	0.01	-0.0233605156578263	0.002617906618035
HF	36788	9.694186047	0.0275	0.01	-0.0223605156578263	0.00269380786015867
HF	36788	9.694186047	0.0275	0.01	-0.0213605156578263	0.00277169052912241
HF	36788	9.694186047	0.0275	0.01	-0.0203605156578263	0.00285159949795997
HF	36788	9.694186047	0.0275	0.01	-0.0193605156578263	0.00293358045515188
HF	36788	9.694186047	0.0275	0.01	-0.0183605156578263	0.00301767991389966
HF	36788	9.694186047	0.0275	0.01	-0.0173605156578263	0.00310394522135394
HF	36788	9.694186047	0.0275	0.01	-0.0163605156578263	0.00319242456779138
HF	36788	9.694186047	0.0275	0.01	-0.0153605156578263	0.00328316699573494
HF	36788	9.694186047	0.0275	0.01	-0.0143605156578263	0.00337622240901227
HF	36788	9.694186047	0.0275	0.01	-0.0133605156578263	0.0034716415817465
HF	36788	9.694186047	0.0275	0.01	-0.0123605156578263	0.003569476167274
HF	36788	9.694186047	0.0275	0.01	-0.0113605156578263	0.00366977870698319
HF	36788	9.694186047	0.0275	0.01	-0.0103605156578263	0.00377260263906875
HF	36788	9.694186047	0.0275	0.01	-0.00936051565782628	0.00387800230719511
HF	36788	9.694186047	0.0275	0.01	-0.00836051565782628	0.00398603296906328
HF	36788	9.694186047	0.0275	0.01	-0.00736051565782628	0.00409675080487492
HF	36788	9.694186047	0.0275	0.01	-0.00636051565782628	0.00421021292568725
HF	36788	9.694186047	0.0275	0.01	-0.00536051565782628	0.00432647738165256
HF	36788	9.694186047	0.0275	0.01	-0.00436051565782627	0.00444560317013595
HF	36788	9.694186047	0.0275	0.01	-0.00336051565782627	0.0045676502437046
HF	36788	9.694186047	0.0275	0.01	-0.00236051565782627	0.00469267951798199
HF	36788	9.694186047	0.0275	0.01	-0.00136051565782627	0.00482075287936046
HF	36788	9.694186047	0.0275	0.01	-0.000360515657826285	0.00495193319256509
HF	36788	9.694186047	0.0275	0.01	0.000639484342173716	0.00508628430806222
HF	36788	9.694186047	0.0275	0.01	0.00163948434217372	0.00522387106930542
HF	36788	9.694186047	0.0275	0.01	0.00263948434217372	0.00536475931981194
HF	36788	9.694186047	0.0275	0.01	0.00363948434217372	0.00550901591006245
HF	36788	9.694186047	0.0275	0.01	0.00463948434217372	0.00565670870421684
HF	36788	9.694186047	0.0275	0.01	0.00563948434217372	0.00580790658663876
HF	36788	9.694186047	0.0275	0.01	0.00663948434217372	0.00596267946822146
HF	36788	9.694186047	0.0275	0.01	0.00763948434217372	0.00612109829250753
HF	36788	9.694186047	0.0275	0.01	0.00863948434217372	0.006283235041595
HF	36788	9.694186047	0.0275	0.01	0.00963948434217372	0.0064491627418221
HF	36788	9.694186047	0.0275	0.01	0.0106394843421737	0.00661895546922311
HF	36788	9.694186047	0.0275	0.01	0.0116394843421737	0.00679268835474761
HF	36788	9.694186047	0.0275	0.01	0.0126394843421737	0.00697043758923513
HF	36788	9.694186047	0.0275	0.01	0.0136394843421737	0.00715228042813764
HF	36788	9.694186047	0.0275	0.01	0.0146394843421737	0.00733829519598176
HF	36788	9.694186047	0.0275	0.01	0.0156394843421737	0.00752856129056294
HF	36788	9.694186047	0.0275	0.01	0.0166394843421737	0.00772315918686339
HF	36788	9.694186047	0.0275	0.01	0.0176394843421737	0.00792217044068604
HF	36788	9.694186047	0.0275	0.01	0.0186394843421737	0.00812567769199618
HF	36788	9.694186047	0.0275	0.01	0.0196394843421737	0.00833376466796293
HF	36788	9.694186047	0.0275	0.01	0.0206394843421737	0.00854651618569222
HF	36788	9.694186047	0.0275	0.01	0.0216394843421737	0.00876401815464333
HF	36788	9.694186047	0.0275	0.01	0.0226394843421737	0.00898635757872074
HF	36788	9.694186047	0.0275	0.01	0.0236394843421737	0.00921362255803301
HF	36788	9.694186047	0.0275	0.01	0.0246394843421737	0.00944590229031077
HF	36788	9.694186047	0.0275	0.01	0.0256394843421737	0.00968328707197545
HF	36788	9.694186047	0.0275	0.01	0.0266394843421737	0.00992586829885053
HF	36788	9.694186047	0.0275	0.01	0.0276394843421737	0.0101737384665073
HF	36788	9.694186047	0.0275	0.01	0.0286394843421737	0.0104269911702369
HF	36788	9.694186047	0.0275	0.01	0.0296394843421737	0.0106857211046403
HF	36788	9.694186047	0.0275	0.01	0.0306394843421737	0.0109500240628282
HF	36788	9.694186047	0.0275	0.01	0.0316394843421737	0.0112199969352234
HF	36788	9.694186047	0.0275	0.01	0.0326394843421737	0.011495737707956
HF	36788	9.694186047	0.0275	0.01	0.0336394843421737	0.011777345460845
HF	36788	9.694186047	0.0275	0.01	0.0346394843421737	0.0120649203649575
HF	36788	9.694186047	0.0275	0.01	0.0356394843421737	0.0123585636797378
HF	36788	9.694186047	0.0275	0.01	0.0366394843421737	0.0126583777496983
HF	36788	9.694186047	0.0275	0.01	0.0376394843421737	0.0129644660006642
HF	36788	9.694186047	0.0275	0.01	0.0386394843421737	0.0132769329355652
HF	36788	9.694186047	0.0275	0.01	0.0396394843421737	0.0135958841297655
HF	36788	9.694186047	0.0275	0.01	0.0406394843421737	0.0139214262259244
HF	36788	9.694186047	0.0275	0.01	0.0416394843421737	0.0142536669283814
HF	36788	9.694186047	0.0275	0.01	0.0426394843421737	0.0145927149970561
HF	36788	9.694186047	0.0275	0.01	0.0436394843421737	0.0149386802408582
HF	36788	9.694186047	0.0275	0.01	0.0446394843421737	0.0152916735105978
HF	36788	9.694186047	0.0275	0.01	0.0456394843421737	0.0156518066913906
HF	36788	9.694186047	0.0275	0.01	0.0466394843421737	0.0160191926945507
HF	36788	9.694186047	0.0275	0.01	0.0476394843421737	0.0163939454489637
HF	36788	9.694186047	0.0275	0.01	0.0486394843421737	0.0167761798919331
HF	36788	9.694186047	0.0275	0.01	0.0496394843421737	0.0171660119594944
