Disease	N	Case/Control Ratio	r^2	P threshold	EffectSize	Power
HF	36788	9.694186047	0.0275	0.01	0.369639484342174	0.801547443169965
HF	36788	9.694186047	0.0275	0.01	0.370639484342174	0.804117756345064
HF	36788	9.694186047	0.0275	0.01	0.371639484342174	0.806667765732816
HF	36788	9.694186047	0.0275	0.01	0.372639484342174	0.809197414784359
MI	41171	6.234405201	0.0275	0.01	0.294639484342174	0.801200204420579
MI	41171	6.234405201	0.0275	0.01	0.295639484342174	0.804423800917354
MI	41171	6.234405201	0.0275	0.01	0.296639484342174	0.807615454037129
CHD	149804	2.478313365	0.0275	0.01	0.118639484342174	0.808007919420374
IS	119036	6.092230696	0.0275	0.01	0.171639484342174	0.800056810945383
IS	119036	6.092230696	0.0275	0.01	0.172639484342174	0.805583591677602
CVD	252216	2.984958605	0.0275	0.01	0.0956394843421737	0.809886478149808
